STATE_CODE,total_bridges,critical,high,medium,low,avg_risk,poor_condition,state_name
78,24,0,3,5,16,0.2928367682309939,7,U.S. Virgin Islands
72,2376,33,192,709,1442,0.266294067868764,331,Puerto Rico
46,5886,246,445,754,4441,0.25098324671230904,963,South Dakota
19,23719,455,2112,4137,17015,0.2452597899802857,4544,Iowa
20,24893,123,1409,6409,16952,0.24052134976594483,1310,Kansas
38,4255,143,236,667,3209,0.23983813844246005,467,North Dakota
31,15398,263,1236,2836,11063,0.23963315504076926,1217,Nebraska
21,14548,51,572,3931,9994,0.23535328958208868,1072,Kentucky
42,23298,241,1422,5109,16526,0.23402037040052054,2932,Pennsylvania
25,5296,10,199,1339,3748,0.23180140338892644,470,Massachusetts
23,2518,8,108,702,1700,0.2310420223888711,388,Maine
54,7347,40,333,1636,5338,0.2291133745006809,1370,West Virginia
44,783,12,43,119,609,0.22902313072796474,119,Rhode Island
15,1195,4,31,268,892,0.22885572167811738,78,Hawaii
22,12698,159,797,1497,10245,0.22802984937357967,1458,Louisiana
40,22916,110,900,4872,17034,0.22498565348465033,1764,Oklahoma
01,16197,144,320,3004,12729,0.2173396055535311,543,Alabama
29,24618,267,775,4730,18846,0.2163997717103481,2203,Missouri
45,9490,93,320,1634,7443,0.21404209526615808,586,South Carolina
36,17632,99,725,3240,13568,0.2132395202434847,1664,New York
30,5224,24,173,836,4191,0.21198500548526727,356,Montana
05,12974,90,227,1900,10757,0.2114785700568293,704,Arkansas
26,11370,112,434,1430,9394,0.21032718353581004,1281,Michigan
34,6818,22,125,1245,5426,0.20896010681790153,410,New Jersey
24,5018,14,105,777,4122,0.20831727355458216,239,Maryland
41,8295,19,301,1078,6897,0.20640713035295818,382,Oregon
16,4613,22,111,649,3831,0.2045870330035112,226,Idaho
51,14121,28,187,1930,11976,0.20367462691010396,478,Virginia
18,19495,124,501,2574,16296,0.203507661702232,1018,Indiana
35,4030,11,60,283,3676,0.20097214262080465,182,New Mexico
47,20379,32,289,2535,17523,0.20092759271841645,898,Tennessee
28,16739,310,457,1641,14331,0.19919322292743047,1009,Mississippi
02,1685,9,44,191,1441,0.19687877056111194,133,Alaska
53,8473,18,155,1280,7020,0.1967631658438698,462,Washington
50,2862,2,30,538,2292,0.1966743300262317,83,Vermont
33,2542,6,53,396,2087,0.1962471074127284,191,New Hampshire
09,4365,3,42,435,3885,0.1961497616683208,206,Connecticut
11,254,0,1,34,219,0.19453750118315327,5,District of Columbia
49,3118,1,52,336,2729,0.19293862469001077,91,Utah
56,3136,13,44,279,2800,0.19292989352911458,204,Wyoming
06,25846,48,294,2344,23160,0.19199179765358662,1527,California
37,19154,42,464,2154,16494,0.19149074084908732,1294,North Carolina
08,8963,13,106,827,8017,0.1904527792606748,432,Colorado
17,26928,136,477,2813,23502,0.19011115141800242,2517,Illinois
48,56728,37,264,4012,52415,0.18501350670940495,695,Texas
10,871,1,7,60,803,0.18390770883597313,11,Delaware
27,13532,35,267,1259,11971,0.18079514531880583,601,Minnesota
39,26729,78,496,2910,23245,0.1805044712464675,1267,Ohio
55,14446,16,239,1334,12857,0.18046441957074819,942,Wisconsin
04,8573,4,56,461,8052,0.1788430020023011,99,Arizona
13,15069,44,69,659,14297,0.17659541993585706,240,Georgia
12,13030,14,98,833,12085,0.17039532006538546,364,Florida
32,2099,0,7,53,2039,0.15953147106045582,24,Nevada
